languages,English,stop_words,libraries
ay,Aymara,,
az,Azerbaijani,"['amma', 'arasında', 'artıq', 'ay', 'az', 'bax', 'belə', 'beş', 'bilər', 'bir', 'biraz', 'biri', 'birşey', 'biz', 'bizim', 'bizlər', 'bu', 'buna', 'bundan', 'bunların', 'bunu', 'bunun', 'buradan', 'bütün', 'bəli', 'bəlkə', 'bəy', 'bəzi', 'bəzən', 'daha', 'dedi', 'deyil', 'dir', 'düz', 'də', 'dək', 'dən', 'dəqiqə', 'edir', 'edən', 'elə', 'et', 'etdi', 'etmə', 'etmək', 'faiz', 'gilə', 'görə', 'ha', 'haqqında', 'harada', 'heç', 'hə', 'həm', 'həmin', 'həmişə', 'hər', 'idi', 'il', 'ildə', 'ilk', 'ilə', 'in', 'indi', 'istifadə', 'isə', 'ki', 'kim', 'kimi', 'kimə', 'lakin', 'lap', 'mirşey', 'məhz', 'mən', 'mənə', 'niyə', 'nə', 'nəhayət', 'o', 'obirisi', 'of', 'olan', 'olar', 'olaraq', 'oldu', 'olduğu', 'olmadı', 'olmaz', 'olmuşdur', 'olsun', 'olur', 'on', 'ona', 'ondan', 'onlar', 'onlardan', 'onların', 'onsuzda', 'onu', 'onun', 'oradan', 'qarşı', 'qədər', 'saat', 'sadəcə', 'saniyə', 'siz', 'sizin', 'sizlər', 'sonra', 'səhv', 'sən', 'sənin', 'sənə', 'təəssüf', 'var', 'və', 'xan', 'xanım', 'xeyr', 'ya', 'yalnız', 'yaxşı', 'yeddi', 'yenə', 'yox', 'yoxdur', 'yoxsa', 'yəni', 'zaman', 'çox', 'çünki', 'öz', 'özü', 'üçün', 'əgər', 'əlbəttə', 'ən', 'əslində']",spark-nlp
ba,Bashkir,,
be,Belarusian,,
bg,Bulgarian,"['а', 'автентичен', 'аз', 'ако', 'ала', 'бе', 'без', 'беше', 'би', 'бивш', 'бивша', 'бившо', 'бивши', 'бил', 'била', 'били', 'било', 'благодаря', 'близо', 'бъдат', 'бъде', 'бъда', 'бяха', 'в', 'вас', 'ваш', 'ваша', 'вашата', 'вашият', 'вероятно', 'вече', 'взема', 'ви', 'вие', 'винаги', 'внимава', 'време', 'все', 'всеки', 'всички', 'вместо', 'всичко', 'вследствие', 'всъщност', 'всяка', 'втори', 'във', 'въпреки', 'върху', 'вътре', 'веднъж', 'г', 'ги', 'главен', 'главна', 'главно', 'глас', 'го', 'годно', 'година', 'години', 'годишен', 'д', 'да', 'дали', 'далеч', 'далече', 'два', 'двама', 'двамата', 'две', 'двете', 'ден', 'днес', 'дни', 'до', 'добра', 'добре', 'добро', 'добър', 'достатъчно', 'докато', 'докога', 'дори', 'досега', 'доста', 'друг', 'друга', 'другаде', 'други', 'е', 'евтин', 'едва', 'един', 'една', 'еднаква', 'еднакви', 'еднакъв', 'едно', 'екип', 'ето', 'живот', 'жив', 'за', 'здравей', 'здрасти', 'знае', 'зная', 'забавям', 'зад', 'зададени', 'заедно', 'заради', 'засега', 'заспал', 'затова', 'запазва', 'започвам', 'защо', 'защото', 'завинаги', 'и', 'из', 'или', 'им', 'има', 'имат', 'иска', 'искам', 'използвайки', 'изглежда', 'изглеждаше', 'изглеждайки', 'извън', 'имайки', 'й', 'йо', 'каза', 'казва', 'казвайки', 'казвам', 'как', 'каква', 'какво', 'както', 'какъв', 'като', 'кога', 'кауза', 'каузи', 'когато', 'когото', 'което', 'които', 'кой', 'който', 'колко', 'която', 'къде', 'където', 'към', 'край', 'кратък', 'кръгъл', 'лесен', 'лесно', 'ли', 'летя', 'летиш', 'летим', 'лош', 'м', 'май', 'малко', 'макар', 'малцина', 'междувременно', 'минус', 'ме', 'между', 'мек', 'мен', 'месец', 'ми', 'мис', 'мисля', 'много', 'мнозина', 'мога', 'могат', 'може', 'мой', 'можем', 'мокър', 'моля', 'момента', 'му', 'н', 'на', 'над', 'назад', 'най', 'наш', 'навсякъде', 'навътре', 'нагоре', 'направи', 'напред', 'надолу', 'наистина', 'например', 'наопаки', 'наполовина', 'напоследък', 'нека', 'независимо', 'нас', 'насам', 'наскоро', 'настрана', 'необходимо', 'него', 'негов', 'нещо', 'нея', 'ни', 'ние', 'никой', 'нито', 'нищо', 'но', 'нов', 'някак', 'нова', 'нови', 'новина', 'някои', 'някой', 'някога', 'някъде', 'няколко', 'няма', 'о', 'обаче', 'около', 'описан', 'опитах', 'опитва', 'опитвайки', 'опитвам', 'определен', 'определено', 'освен', 'обикновено', 'осигурява', 'обратно', 'означава', 'особен', 'особено', 'от', 'ох', 'отвъд', 'отгоре', 'отдолу', 'отново', 'отива', 'отивам', 'отидох', 'отсега', 'отделно', 'отколкото', 'откъдето', 'очевидно', 'оттам', 'относно', 'още', 'п', 'пак', 'по', 'повече', 'повечето', 'под', 'поне', 'просто', 'пряко', 'поради', 'после', 'последен', 'последно', 'посочен', 'почти', 'прави', 'прав', 'прави', 'правя', 'пред', 'преди', 'през', 'при', 'пък', 'първата', 'първи', 'първо', 'път', 'пъти', 'плюс', 'равен', 'равна', 'различен', 'различни', 'разумен', 'разумно', 'с', 'са', 'сам', 'само', 'себе', 'сериозно', 'сигурен', 'сигурно', 'се', 'сега', 'си', 'син', 'скоро', 'скорошен', 'след', 'следващ', 'следващия', 'следва', 'следното', 'следователно', 'случва', 'сме', 'смях', 'собствен', 'сравнително', 'смея', 'според', 'сред', 'става', 'срещу', 'съвсем', 'съдържа', 'съдържащ', 'съжалявам', 'съответен', 'съответно', 'сте', 'съм', 'със', 'също', 'т', 'така', 'техен', 'техни', 'такива', 'такъв', 'твърде', 'там', 'трета', 'твой', 'те', 'тези', 'ти', 'то', 'това', 'тогава', 'този', 'той', 'търси', 'толкова', 'точно', 'три', 'трябва', 'тук', 'тъй', 'тя', 'тях', 'у', 'утре', 'ужасно', 'употреба', 'успоредно', 'уточнен', 'уточняване', 'харесва', 'харесали', 'хиляди', 'ч', 'часа', 'ценя', 'цяло', 'цялостен', 'че', 'често', 'чрез', 'чудя', 'ще', 'щеше', 'щом', 'щяха', 'юмрук', 'я', 'як']",spark-nlp
bh,Bihari languages,,
bi,Bislama,,
bm,Bambara,,
bn,Bengali,"['অতএব', 'অথচ', 'অথবা', 'অনুযায়ী', 'অনেক', 'অনেকে', 'অনেকেই', 'অন্তত', '', 'অবধি', 'অবশ্য', 'অর্থাৎ', 'অন্য', 'অনুযায়ী', 'অর্ধভাগে', 'আগামী', 'আগে', 'আগেই', 'আছে', 'আজ', 'আদ্যভাগে', 'আপনার', 'আপনি', 'আবার', 'আমরা', 'আমাকে', 'আমাদের', 'আমার', '', 'আমি', 'আর', 'আরও', 'ইত্যাদি', 'ইহা', 'উচিত', 'উনি', 'উপর', 'উপরে', 'উত্তর', 'এ', 'এঁদের', 'এঁরা', 'এই', 'এক', 'একই', 'একজন', 'একটা', 'একটি', '', 'একবার', 'একে', 'এখন', 'এখনও', 'এখানে', 'এখানেই', 'এটা', 'এসো', 'এটাই', 'এটি', 'এত', 'এতটাই', 'এতে', 'এদের', 'এবং', 'এবার', 'এমন', 'এমনি', 'এমনকি', 'এর', 'এরা', 'এলো', 'এস', 'এসে', 'ঐ', 'ও', 'ওঁদের', 'ওঁর', 'ওঁরা', 'ওই', 'ওকে', 'ওখানে', 'ওদের', 'ওর', 'ওরা', 'কখনও', 'কত', 'কথা', 'কবে', 'কয়েক', '', 'কয়েকটি', 'করছে', 'করছেন', 'করতে', '', 'করবে', 'করবেন', 'করলে', 'কয়েক', '', 'কয়েকটি', 'করিয়ে', 'করিয়া', 'করায়', 'করলেন', 'করা', 'করাই', 'করায়', 'করার', 'করি', 'করিতে', 'করিয়া', 'করিয়ে', 'করে', 'করেই', 'করেছিলেন', 'করেছে', 'করেছেন', 'করেন', 'কাউকে', 'কাছ', 'কাছে', 'কাজ', 'কাজে', 'কারও', 'কারণ', 'কি', 'কিংবা', 'কিছু', 'কিছুই', 'কিন্তু', 'কী', 'কে', 'কেউ', 'কেউই', 'কেন', 'কোন', 'কোনও', 'কোনো', 'কেমনে', 'কোটি', 'ক্ষেত্রে', 'খুব', 'গিয়ে', 'গিয়েছে', 'গুলি', 'গেছে', 'গেল', 'গেলে', 'গোটা', 'গিয়ে', 'গিয়েছে', 'চলে', 'চান', 'চায়', 'চেয়ে', 'চায়', 'চেয়ে', 'চার', 'চালু', 'চেষ্টা', 'ছাড়া', 'ছাড়াও', 'ছিল', 'ছিলেন', 'ছাড়া', 'ছাড়াও', 'জন', 'জনকে', 'জনের', 'জন্য', 'জন্যে', 'জানতে', 'জানা', 'জানানো', 'জানায়', '', 'জানিয়ে', '', 'জানিয়েছে', 'জানায়', 'জাানিয়ে', 'জানিয়েছে', 'টি', 'ঠিক', 'তখন', 'তত', 'তথা', 'তবু', 'তবে', 'তা', 'তাঁকে', 'তাঁদের', 'তাঁর', 'তাঁরা', 'তাঁহারা', 'তাই', 'তাও', 'তাকে', 'তাতে', 'তাদের', 'তার', 'তারপর', 'তারা', 'তারই', 'তাহলে', 'তাহা', 'তাহাতে', 'তাহার', 'তিনই', 'তিনি', 'তিনিও', 'তুমি', 'তুলে', 'তেমন', 'তো', 'তোমার', 'তুই', 'তোরা', 'তোর', 'তোমাদের', 'তোদের', 'থাকবে', 'থাকবেন', 'থাকা', 'থাকায়', 'থাকে', 'থাকেন', 'থেকে', 'থেকেই', '', 'থেকেও', 'থাকায়', 'দিকে', 'দিতে', 'দিয়ে', 'দিয়েছে', 'দিয়েছেন', 'দিলেন', 'দিয়ে', 'দু', '', 'দুটি', '', 'দুটো', 'দেওয়া', 'দেওয়ার', 'দেখতে', 'দেখা', 'দেখে', 'দেন', 'দেয়', '', 'দেশের', 'দ্বারা', 'দিয়েছে', 'দিয়েছেন', 'দেয়', 'দেওয়া', 'দেওয়ার', 'দিন', 'দুই', 'ধরা', 'ধরে', 'নয়', 'না', 'নাই', 'নাকি', 'নাগাদ', 'নানা', 'নিজে', 'নিজেই', 'নিজেদের', 'নিজের', 'নিতে', 'নিয়ে', 'নিয়ে', 'নেই', 'নেওয়া', 'নেওয়ার', 'নয়', 'নতুন', 'পক্ষে', 'পর', 'পরে', 'পরেই', 'পরেও', 'পর্যন্ত', 'পাওয়া', 'পারি', 'পারে', 'পারেন', 'পেয়ে', 'প্রতি', 'প্রভৃতি', 'প্রায়', 'পাওয়া', 'পেয়ে', 'প্রায়', 'পাঁচ', 'প্রথম', 'প্রাথমিক', 'ফলে', 'ফিরে', 'ফের', 'বছর', 'বদলে', 'বরং', 'বলতে', 'বলল', 'বললেন', 'বলা', 'বলে', 'বলেছেন', 'বলেন', '', 'বসে', 'বহু', 'বা', 'বাদে', 'বার', 'বিনা', 'বিভিন্ন', 'বিশেষ', 'বিষয়টি', 'বেশ', 'ব্যবহার', 'ব্যাপারে', 'বক্তব্য', 'বন', 'বেশি', 'ভাবে', '', 'ভাবেই', 'মত', 'মতো', 'মতোই', 'মধ্যভাগে', 'মধ্যে', 'মধ্যেই', '', 'মধ্যেও', 'মনে', 'মাত্র', 'মাধ্যমে', 'মানুষ', 'মানুষের', 'মোট', 'মোটেই', 'মোদের', 'মোর', 'যখন', 'যত', 'যতটা', 'যথেষ্ট', 'যদি', 'যদিও', 'যা', 'যাঁর', 'যাঁরা', 'যাওয়া', '', 'যাওয়ার', 'যাকে', 'যাচ্ছে', 'যাতে', 'যাদের', 'যান', 'যাবে', 'যায়', 'যার', '', 'যারা', 'যায়', 'যিনি', 'যে', 'যেখানে', 'যেতে', 'যেন', 'যেমন', 'রকম', 'রয়েছে', 'রাখা', 'রেখে', 'রয়েছে', 'লক্ষ', 'শুধু', 'শুরু', 'সাধারণ', 'সামনে', 'সঙ্গে', 'সঙ্গেও', 'সব', 'সবার', 'সমস্ত', 'সম্প্রতি', 'সময়', 'সহ', 'সহিত', 'সাথে', 'সুতরাং', 'সে', '', 'সেই', 'সেখান', 'সেখানে', '', 'সেটা', 'সেটাই', 'সেটাও', 'সেটি', 'স্পষ্ট', 'স্বয়ং', 'হইতে', 'হইবে', 'হইয়া', 'হওয়া', 'হওয়ায়', 'হওয়ার', 'হচ্ছে', 'হত', 'হতে', 'হতেই', 'হন', 'হবে', 'হবেন', 'হয়', 'হয়তো', 'হয়নি', 'হয়ে', 'হয়েই', 'হয়েছিল', 'হয়েছে', 'হাজার', 'হয়েছেন', 'হল', 'হলে', 'হলেই', 'হলেও', 'হলো', 'হিসাবে', 'হিসেবে', 'হৈলে', 'হোক', 'হয়', 'হয়ে', 'হয়েছে', 'হৈতে', 'হইয়া', '', 'হয়েছিল', 'হয়েছেন', 'হয়নি', 'হয়েই', 'হয়তো', 'হওয়া', 'হওয়ার', 'হওয়ায়']",spark-nlp
bo,Tibetan,,
br,Breton,"['a', 'ainda', 'alem', 'ambas', 'ambos', 'antes', 'ao', 'aonde', 'aos', 'apos', 'aquele', 'aqueles', 'as', 'assim', 'com', 'como', 'contra', 'contudo', 'cuja', 'cujas', 'cujo', 'cujos', 'da', 'das', 'de', 'dela', 'dele', 'deles', 'demais', 'depois', 'desde', 'desta', 'deste', 'dispoe', 'dispoem', 'diversa', 'diversas', 'diversos', 'do', 'dos', 'durante', 'e', 'ela', 'elas', 'ele', 'eles', 'em', 'entao', 'entre', 'essa', 'essas', 'esse', 'esses', 'esta', 'estas', 'este', 'estes', 'ha', 'isso', 'isto', 'logo', 'mais', 'mas', 'mediante', 'menos', 'mesma', 'mesmas', 'mesmo', 'mesmos', 'na', 'nao', 'nas', 'nem', 'nesse', 'neste', 'nos', 'o', 'os', 'ou', 'outra', 'outras', 'outro', 'outros', 'pelas', 'pelo', 'pelos', 'perante', 'pois', 'por', 'porque', 'portanto', 'propios', 'proprio', 'quais', 'qual', 'qualquer', 'quando', 'quanto', 'que', 'quem', 'quer', 'se', 'seja', 'sem', 'sendo', 'seu', 'seus', 'sob', 'sobre', 'sua', 'suas', 'tal', 'tambem', 'teu', 'teus', 'toda', 'todas', 'todo', 'todos', 'tua', 'tuas', 'tudo', 'um', 'uma', 'umas', 'uns']",guilan_nlp
bs,Bosnian,,
ca,Catalan; Valencian,"['oh', 'ets', 'sota', 'aquelles', 'als', 'tanta', 'mateix', 'dintre', 'faig', 'que', 'potser', 'de', 'sap', 'fan', 'cadascunes', 'encara', 'tota', 'al', 'meu', 'ambdues', 'ses', 'nostra', 'cadascuns', ""li'n"", 'pas', 'tampoc', 'estaven', 'està', 'vam', 'nostres', 'alguns', 'sense', 'som', 'molta', 'aquella', 'ma', 'mode', 'algunes', 'mateixos', 'així', 'una', 'vas', ""d'una"", 'qual', 'aquesta', 'també', 'teva', 'nosaltres', 'etc', 'fora', 'meves', 'unes', 'moltes', 'del', 'algun', ""d'un"", 'bé', 'esta', 'apa', 'què', 'vaig', 'ta', 'mateixa', 'tot', 'aquest', 'son', 'seu', 'sabem', 'ah', 'eh', 'me', 'sons', 'igual', ""t'han"", 'tal', 'quines', 'fas', 'pocs', 'nostre', 'poder', 'primer', 'quelcom', 'vostres', 'gairebé', 'tantes', 'eres', 'per', 'us', 'estan', 'dels', 'tant', 'havia', 'ton', 'després', 'te', 'quins', 'molts', 'ús', ""d'uns"", ""m'he"", 'estic', 'a', 'fa', 'feu', 'poden', 'altra', 'ho', 'llavors', 'sobretot', ""t'he"", 'poques', 'sa', 'des', 'molt', 'vostre', 'no', 'semblant', 'teves', 'sols', 'nogensmenys', 'més', 'aquell', 'donat', 'han', 'ja', 'semblants', 'un', ""d'unes"", 'quina', 'esteu', 'li', 'conseguim', 'em', ""t'ha"", 'tons', 'doncs', 'ací', 'tenim', 'consegueixo', 'fi', 'amb', 'aquí', 'la', 'això', 'podem', 'seva', 'allà', 'hi', 'e', 'sobre', 'solament', 'hem', 'tan', 'erem', 'tots', 'mon', 'meus', 'fem', 'heu', 'mateixes', 'va', 'consigueixes', 'si', 'tenir', 'vosaltres', ""s'han"", 'estem', 'cada', 'poca', 'ne', 'cadascú', 'els', 'aquells', 'on', 'oi', 'veu', 'cadascuna', 'aleshores', ""n'he"", ""n'hi"", 'he', 'malgrat', 'quin', 'quan', 'teus', 'elles', 'pel', 'poc', 'anar', 'ni', 'jo', 'alguna', 'soc', 'altre', 'les', 'puc', 'era', 'llarg', 'dins', 'alhora', 'mal', 'propi', 'totes', 'ambdós', 'saben', 'seus', 'altres', 'baix', 'érem', 'i', 'aquestes', 'fins', 'inclòs', 'uns', 'et', 'pels', 'haver', 'fer', 'allí', 'mentre', 'sou', 'conseguir', 'has', 'dalt', 'éreu', ""l'hi"", 'perquè', 'sóc', 'meva', 'són', 'podeu', 'últim', 'qui', 'estat', 'iguals', 'és', 'saps', 'consigueixen', 'eren', 'en', 'quant', 'consigueix', 'ser', 'ens', 'ha', 'vostra', 'bastant', 'com', 'estàveu', 'durant', 'abans', 'entre', 'el', 'només', 'tene', 'estava', 'seves', 'contra', 'tinc', 'éssent', 'sabeu', 'van', 'però', 'ans', 'es', ""s'ha"", 'teu', 'mons', 'teniu', 'ells', 'saber', 'quals', 'o', 'estàvem', 'aquests', 'allò']",spacy
ce,Chechen,,
ch,Chamorro,,
co,Corsican,,
cr,Cree,,
